nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,area,Lnominal,R-value1,Fmax,smax,Ncycles,f,E,Temp.
941,49.49,0.0,3.83,25.02,95.91,145.0,1.0,66.66,695.03,0.0,0.0,38.14,30.443137254901963
942,49.49,0.0,3.79,24.77,93.8,145.0,1.0,71.79,765.39,0.0,0.0,38.66,30.443137254901963
943,49.49,0.0,3.79,24.98,94.57,145.0,-1.0,17.0,179.75,5.910061698508087,4.33,38.35,30.443137254901963
944,49.49,0.0,3.84,24.86,95.5,145.0,-1.0,25.0,261.78,4.563516681843913,2.0,38.475,30.0
955,49.07,0.0,3.85,25.2,96.93,145.0,-1.0,17.0,175.38,6.152307000294602,4.32,37.735,34.3
959,52.47,0.0,3.83,25.33,97.01,145.0,1.0,-52.11,-537.14,0.0,0.0,38.9,30.443137254901963
960,52.47,0.0,3.88,25.41,98.58,145.0,1.0,-53.23,-539.97,0.0,0.0,38.16,30.443137254901963
961,52.47,0.0,3.81,25.35,96.67,145.0,1.0,-51.19,-529.53,0.0,0.0,39.07,30.443137254901963
962,52.47,0.0,3.89,25.41,98.78,145.0,1.0,-50.17,-507.89,0.0,0.0,38.06,30.443137254901963
963,52.47,0.0,3.88,25.35,98.45,145.0,1.0,-50.01,-508.0,0.0,0.0,37.44,30.443137254901963
964,52.47,0.0,3.91,25.4,99.3,145.0,1.0,-52.09,-524.56,0.0,0.0,38.58,30.443137254901963
965,52.47,0.0,3.95,25.34,100.18,145.0,1.0,-53.4,-533.04,0.0,0.0,38.46,30.443137254901963
966,52.47,0.0,3.86,25.41,98.07,145.0,1.0,-52.09,-531.15,0.0,0.0,38.03,30.443137254901963
967,49.79,0.0,3.84,25.27,97.05,145.0,1.0,-49.57,-510.78,0.0,0.0,39.33,30.443137254901963
968,49.79,0.0,3.78,25.37,95.89,145.0,1.0,-50.74,-529.16,0.0,0.0,39.06,30.443137254901963
969,49.79,0.0,3.81,25.41,96.81,145.0,1.0,-51.47,-531.65,0.0,0.0,39.8,30.443137254901963
970,49.79,0.0,3.81,25.45,96.88,145.0,1.0,-49.25,-508.38,0.0,0.0,39.03,30.443137254901963
971,49.79,0.0,3.76,25.31,95.09,145.0,1.0,-49.73,-522.98,0.0,0.0,38.51,30.443137254901963
972,49.79,0.0,3.79,25.19,95.55,145.0,1.0,-45.94,-480.82,0.0,0.0,39.24,30.443137254901963
973,49.79,0.0,3.79,25.15,95.25,145.0,1.0,-49.97,-524.6,0.0,0.0,38.88,30.443137254901963
974,49.79,0.0,3.8,25.27,95.96,145.0,1.0,-50.82,-529.59,0.0,0.0,39.4,30.443137254901963
975,49.79,0.0,3.8,25.41,96.57,145.0,1.0,-47.31,-489.89,0.0,0.0,38.34,30.443137254901963
976,49.79,0.0,3.82,25.3,96.72,145.0,1.0,-51.21,-529.46,0.0,0.0,38.63,30.443137254901963
977,49.79,0.0,3.77,25.38,95.75,145.0,1.0,-46.82,-488.99,0.0,0.0,39.37,30.443137254901963
978,49.79,0.0,3.76,25.26,94.99,145.0,1.0,-48.86,-514.38,0.0,0.0,38.6,30.443137254901963
979,49.79,0.0,3.85,25.45,97.97,145.0,1.0,-51.07,-521.3,0.0,0.0,39.3,30.443137254901963
980,49.79,0.0,3.81,25.53,97.26,145.0,1.0,-52.07,-535.4,0.0,0.0,38.9,30.443137254901963
981,49.79,0.0,3.81,25.48,96.99,145.0,1.0,-52.53,-541.58,0.0,0.0,40.1,30.443137254901963
