nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,area,R-value1,Fmax,smax,Ncycles,f,E,Temp.,stens,ftens,scomp,fcomp
1304,56.66,90.0,6.37,25.1,159.87,-1.0,3.2,20.02,5.327855279161386,3.0,14.280000000000001,28.9,58.34,9.23,-163.39,-26.09
1307,56.66,90.0,6.27,25.06,157.05,-1.0,5.5,34.99,3.8767949762007006,1.55,14.969999999999999,24.2,58.34,9.23,-96.63,-15.13
1308,56.66,90.0,6.34,25.01,158.51,-1.0,3.96,25.0,5.045932910099003,3.04,14.73,29.984285714285715,57.5,9.0,-148.79,-23.6
1309,56.66,90.0,6.26,25.12,157.31,-1.0,2.81,17.83,6.146134550046609,6.1,15.37,29.984285714285715,58.34,9.23,-159.83,-25.11
1310,56.66,90.0,6.32,25.08,158.45,0.1,5.7,36.0,4.315802469737045,1.53,14.45,23.0,58.34,9.23,-168.23,-26.59
1311,56.66,90.0,6.26,25.01,156.66,0.1,5.01,32.0,4.276875221131548,3.0,14.6,22.6,57.5,9.0,-170.71,-26.72
1312,56.66,90.0,6.34,25.11,159.14,0.1,4.3,26.99,5.080561554321455,4.5,14.5,29.984285714285715,58.34,9.23,-167.88,-26.68
1313,56.66,90.0,6.31,25.04,157.91,0.1,6.0,38.0,4.121723945637367,2.27,15.04,29.984285714285715,57.5,9.0,-168.23,-26.59
1314,54.75,90.0,6.36,25.03,159.09,0.1,3.82,24.0,5.59530438443742,5.69,14.87,29.984285714285715,58.58,9.15,-163.9,-26.12
1316,51.2,0.0,3.76,25.13,94.41,-1.0,25.0,264.79,4.970100365087651,2.0,38.295,29.984285714285715,801.95,76.27,-457.32,-42.3
1317,54.75,90.0,6.33,25.03,158.39,10.0,-21.67,-136.83,4.284836637642396,2.73,15.76,29.984285714285715,58.58,9.15,-161.59,-25.56
1319,56.66,90.0,6.33,25.09,158.82,-1.0,4.26,26.82,4.715510306677597,2.54,15.115,29.984285714285715,58.34,9.23,-167.88,-26.68
1320,56.66,90.0,6.35,25.19,159.96,-1.0,4.26,26.63,4.737232411440803,2.54,14.715,29.984285714285715,58.34,9.23,-163.39,-26.09
1322,56.66,90.0,6.32,25.02,158.03,-1.0,4.26,26.95,4.192037502713247,2.54,14.504999999999999,23.9,57.5,9.0,-147.8,-23.3
1323,56.66,90.0,6.35,25.1,159.48,-1.0,7.48,46.93,2.708420900134713,0.84,14.545,21.9,58.34,9.23,-163.39,-26.09
1324,56.66,90.0,6.49,24.95,161.93,10.0,-21.55,-133.09,4.371824907328892,2.73,15.23,22.4,57.5,9.0,-164.74,-26.65
1325,49.07,0.0,3.79,25.23,95.63,-1.0,32.55,340.37,3.6334684555795866,1.22,38.605000000000004,33.6,796.99,75.06,-480.82,-45.94
1326,50.65,0.0,3.84,25.17,96.73,-1.0,32.47,335.68,3.5089335260500327,1.22,38.47,29.984285714285715,774.16,73.65,-510.78,-49.57
1327,51.11,0.0,3.74,25.44,95.21,-1.0,32.81,344.64,3.762453482363547,1.22,38.900000000000006,29.984285714285715,801.95,76.27,-457.32,-42.3
1328,50.66,0.0,3.86,24.92,96.27,-1.0,32.15,333.91,3.579440597139797,1.22,38.349999999999994,29.984285714285715,774.16,73.65,-450.76,-42.48
1329,51.11,0.0,3.82,25.28,96.65,-1.0,32.61,337.43,3.682145076373832,1.22,37.485,29.984285714285715,801.95,76.27,-529.46,-51.21
1330,49.07,0.0,3.81,25.23,96.04,-1.0,16.9,175.97,6.2391219703552405,4.56,38.525,29.984285714285715,695.03,66.66,-529.59,-50.82
1369,51.11,0.0,3.82,25.3,96.56,-1.0,16.95,175.53,6.071128699937522,4.56,39.545,29.984285714285715,801.95,76.27,-529.46,-51.21
1370,55.05,90.0,6.39,25.12,160.62,-1.0,4.33,26.95,4.2484392081415105,2.54,15.315,29.984285714285715,51.11,8.23,-166.06,-26.65
1371,55.05,90.0,6.14,24.98,153.27,-1.0,4.13,26.95,4.315655525231531,2.54,14.795,29.984285714285715,53.33,8.22,-88.98,-13.91
1372,55.05,90.0,6.14,25.05,153.87,10.0,-23.6,-153.36,2.693726948923647,2.73,15.76,29.984285714285715,53.33,8.22,-88.98,-13.91
1373,55.05,90.0,6.09,25.18,153.45,-1.0,7.2,46.91,2.45484486000851,0.84,15.455,29.984285714285715,53.09,8.11,-148.27,-22.69
1374,55.05,90.0,6.0,25.04,150.3,10.0,-23.05,-153.35,2.8488047010518036,2.73,15.32,29.984285714285715,58.11,8.81,-153.3,-23.0
1375,55.05,90.0,6.17,25.11,154.87,10.0,-23.75,-153.35,2.690196080028514,2.73,15.48,29.984285714285715,50.92,7.88,-88.98,-13.91
1376,55.05,90.0,6.1,25.13,153.4,-1.0,4.13,26.95,3.9146604305892216,2.54,14.48,29.984285714285715,53.33,8.22,-148.27,-22.69
