nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,area,Lnominal,Fmax,smax,E
2911,52.89,0.0,3.65,25.17,91.88,145.0,86.18,920.42,38.6
2912,52.89,0.0,3.71,25.23,93.68,145.0,79.0,843.38,38.75
2913,52.89,0.0,3.73,25.25,94.17,145.0,-42.33,-460.12,42.34
2914,52.89,0.0,3.65,25.24,92.04,145.0,-39.16,-425.33,39.15
2915,52.89,0.0,3.67,25.17,92.3,145.0,86.13,933.16,39.91
2916,52.04,0.0,3.7,25.28,93.63,145.0,86.13,919.9,39.4
3713,53.73,90.0,6.21,25.43,157.92,145.0,39.51,250.1894943,16.32
3714,53.73,90.0,6.21,25.44,157.98,145.0,37.34,236.3554421,16.31
3715,53.73,90.0,6.2,25.3,156.86,145.0,37.77,240.7879638,16.84
3716,53.73,90.0,6.2,25.44,157.73,145.0,37.79,239.5896734,16.5
3717,53.73,90.0,6.21,25.34,157.36,145.0,34.34,218.223783,16.45
3718,53.73,90.0,6.16,25.46,156.83,145.0,10.42,66.43984452,16.08
3719,53.73,90.0,6.18,25.5,157.59,145.0,10.4,65.99403515,16.09
3720,53.73,90.0,6.15,25.52,156.95,145.0,9.84,62.69592476,15.87
3721,53.73,90.0,6.15,25.52,156.95,145.0,10.16,64.73481663,16.2
3722,53.73,90.0,6.15,25.52,156.95,145.0,10.43,66.45513164,16.1
3723,51.61,30.0,3.85,24.71,95.13,145.0,14.48,152.2071615,19.15
3724,51.61,30.0,3.89,24.5,95.31,145.0,14.16,148.5756256,18.4
3725,51.61,30.0,3.88,24.76,96.07,145.0,14.9,155.0971804,18.1
3726,51.61,30.0,3.86,24.76,95.57,145.0,14.9,155.9007927,18.29
3727,51.61,30.0,3.9,24.69,96.29,145.0,14.6,151.6237239,18.88
3728,53.5,0.0,3.86,25.35,97.85,145.0,97.3,994.3689896,36.42
3729,53.5,0.0,3.85,25.34,97.56,145.0,93.8,961.4694698,37.37
3730,53.5,0.0,3.83,25.41,97.32,145.0,92.7,952.5248073,37.61
3731,53.5,0.0,3.82,25.42,97.1,145.0,93.4,961.8513682,38.59
3732,53.5,0.0,3.78,25.28,95.56,145.0,97.1,1016.132543,38.12
3785,54.6,90.0,6.04,25.0,150.9,145.0,6.68,44.23560542,15.06
3786,54.6,90.0,6.07,25.03,152.0,145.0,6.34,41.70523999,13.61
3788,54.6,90.0,6.09,24.93,151.72,145.0,6.41,42.24220181,14.77
3789,54.6,90.0,6.07,25.21,153.11,145.0,7.26,47.43034471,13.89
3790,54.6,90.0,6.05,24.83,150.24,145.0,7.05,46.89111986,15.0
3791,54.6,90.0,6.19,24.98,154.69,145.0,-25.58,-165.3901014,15.29
3792,54.6,90.0,6.06,24.84,150.63,145.0,-25.14,-166.8952447,15.35
3793,54.6,90.0,6.04,24.96,150.66,145.0,-25.28,-167.7739667,15.13
3794,54.6,90.0,6.08,24.81,150.78,145.0,-25.55,-169.4627989,15.59
3795,54.6,90.0,6.07,25.0,151.73,145.0,-26.34,-173.5717426,16.14
3796,52.41,0.0,3.89,25.24,98.2,145.0,-52.0,-529.5093481,39.91
3797,52.41,0.0,3.85,25.02,96.23,145.0,-46.71,-485.374857,40.76
3798,52.41,0.0,3.86,25.16,97.05,145.0,86.36,889.8406527,41.5
3799,52.41,0.0,3.88,25.12,97.47,145.0,-49.65,-509.3899796,41.32
3800,52.41,0.0,3.84,25.16,96.63,145.0,86.27,892.7920917,42.1
3801,52.41,0.0,3.87,25.14,97.36,145.0,85.9,882.2681561,39.59
3802,52.41,0.0,3.91,25.17,98.32,145.0,91.26,928.2146328,40.34
3803,52.41,0.0,3.89,25.1,97.54,145.0,-50.43,-516.9855518,40.6
3804,52.41,0.0,3.89,25.15,97.93,145.0,-49.36,-504.0727374,39.33
3805,52.41,0.0,3.83,25.07,96.02,145.0,90.98,947.4880257,42.38
