nr,smax,Ncycles,smean
2260,189.52,4.359228183542235,0.0
2261,238.73,3.126780577012009,0.0
2262,138.58,5.793327915154477,0.0
2263,244.09,3.475380593143361,0.0
2264,139.88,5.753871726638648,0.0
2265,190.16,4.359190199155811,0.0
2266,190.43,4.319564066092164,0.0
2267,137.65,5.585145892922887,0.0
2268,190.58,4.282486162186108,0.0
2269,242.81,3.486430478854434,0.0
2270,139.34,5.821344494041004,0.0
2271,239.07,3.4631461367263494,0.0
2272,448.04,0.0,224.02
2273,423.43,0.0,211.715
2274,451.53,0.0,225.765
2275,394.29,0.0,197.145
2276,454.69,0.0,227.345
2277,485.54,0.0,242.77
2278,453.98,0.0,226.99
2280,512.53,0.0,256.265
2281,626.48,0.0,313.24
2282,642.02,0.0,321.01
2283,627.88,0.0,313.94
2284,645.19,0.0,322.595
2285,616.8,0.0,308.4
2286,249.98,3.878923733967567,74.994
2287,225.0,4.116275587580544,67.5
2288,159.66,4.035949779536674,47.898
2289,183.51,4.843650048599647,55.053
2290,168.21,5.066255090442671,50.463
2291,150.38,6.363288112367281,45.114
2292,330.27,3.3550682063488506,99.081
2293,279.91,4.161936705245781,83.973
2294,239.82,4.566425706567533,71.946
2295,213.86,5.015598635505834,64.158
2297,210.0,4.795038408286419,63.0
2298,133.2,5.287187911368403,0.0
2299,132.13,5.365458032514468,0.0
2300,179.53,4.253483392087015,0.0
2301,180.09,4.5009770535892,0.0
2302,-261.99,4.998097974154078,-1440.9450000000002
2303,196.56,5.727476189310718,108.108
2304,265.42,3.804275767129094,145.98100000000002
2305,264.2,4.566284254084595,145.31
2307,195.18,5.673945679080203,107.34900000000002
2308,197.59,5.55870137222243,108.6745
2309,194.49,5.729698417060987,106.9695
2310,195.97,5.755737688387494,107.7835
2369,535.4,0.0,267.7
2370,542.46,0.0,271.23
2371,538.42,0.0,269.21
2372,534.34,0.0,267.17
2373,538.28,0.0,269.14
2374,517.59,5.6989013803864434,2846.7450000000003
2375,574.18,3.399327532158679,3157.99
2376,393.74,5.6989065927125,2165.57
2377,500.14,5.301058223887898,2750.77
2378,405.02,5.00059891322988,2227.61
2379,-272.19,5.321960709146105,-1497.045
2380,-279.12,5.687182814560939,-1535.16
2381,353.55,5.698970004336019,0.0
2383,405.56,4.243062864804807,0.0
2389,458.53,5.69877452783365,0.0
2394,189.6,4.292322539914916,0.0
2396,139.61,5.389566514206538,0.0
2397,191.92,4.23149507644823,0.0
2434,645.22,0.0,322.61
2435,724.17,0.0,362.085
2436,731.92,0.0,365.96
2437,713.84,0.0,356.92
2438,723.27,0.0,361.635
2439,526.74,0.0,263.37
2443,664.6,0.0,332.3
2444,348.11,4.185202065187894,261.0825
2445,342.78,4.288047909592119,257.085
2446,274.83,5.187506620137363,206.1225
2447,278.33,4.8782344686750445,208.7475
2448,274.21,4.159717546180215,150.8155
2449,274.6,4.037864555774374,151.03000000000003
2450,273.8,4.0277979433503,150.59000000000003
2451,199.36,5.539709505778252,109.648
2452,193.87,6.174703354779472,106.62850000000002
2453,261.12,4.865180991389705,143.616
2454,326.66,3.400365273349939,179.66300000000004
2456,147.16,2.0211892990699383,-110.37
2457,94.88,5.285896960957969,-71.16
2458,126.3,3.017450729510536,-94.725
2460,81.18,6.164439705996086,-60.885000000000005
2467,453.73,0.0,226.865
2468,415.9,0.0,207.95
2469,446.2,0.0,223.1
2536,558.21,0.0,279.105
2537,617.47,0.0,308.735
2538,607.95,0.0,303.975
2539,632.0,0.0,316.0
2540,597.31,0.0,298.655
2541,625.95,0.0,312.975
2542,639.62,0.0,319.81
2543,449.5,0.0,224.75
2544,422.27,0.0,211.135
2545,469.68,0.0,234.84
2546,412.57,0.0,206.285
2547,483.4,0.0,241.7
2548,455.86,0.0,227.93
2549,437.4,0.0,218.7
2550,442.87,0.0,221.435
2551,475.6,0.0,237.8
2552,467.79,0.0,233.895
2553,449.91,0.0,224.955
2554,426.3,0.0,213.15
2555,433.16,0.0,216.58
2556,398.26,0.0,199.13
2557,426.32,0.0,213.16
2558,452.01,0.0,226.005
2559,474.46,0.0,237.23
2560,462.67,0.0,231.335
2561,439.2,0.0,219.6
2562,429.7,0.0,214.85
2563,476.3,0.0,238.15
2564,455.71,0.0,227.855
2565,433.07,0.0,216.535
2566,450.31,0.0,225.155
2567,434.93,0.0,217.465
2568,473.19,0.0,236.595
2569,465.46,0.0,232.73
2570,477.24,0.0,238.62
2571,476.78,0.0,238.39
2572,509.41,0.0,254.705
2580,375.49,5.698970004336019,0.0
2581,420.61,5.698970872924114,0.0
2582,538.23,6.209783282766065,296.02650000000006
2583,505.47,6.18935525996446,278.0085
2584,500.96,6.2292901096848965,275.528
2585,458.84,6.182225427747274,0.0
2586,563.59,6.183410788526464,309.97450000000003
2587,383.48,6.1806284364697,0.0
2588,-422.67,5.903116586714352,-2324.685
2589,-399.13,3.6020599913279625,-0.0
2590,-462.02,5.90308510115154,-0.0
2591,-481.09,3.6030360562505215,-2645.995
2592,-487.08,4.398148420008631,-2678.94
2593,455.93,5.300984392349165,0.0
2596,188.14,4.3240971716876135,0.0
